"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"May 2020","25.65","19.56","26.73","18.05","212.34K","31.13%"
"Abr 2020","19.56","20.30","29.12","6.55","6.30M","-4.49%"
"Mar 2020","20.48","43.70","48.66","19.27","16.68M","-54.24%"
"Feb 2020","44.76","51.01","54.50","43.85","13.33M","-13.19%"
"Ene 2020","51.56","61.60","65.65","50.97","12.54M","-15.56%"
"Dic 2019","61.06","55.47","62.34","55.35","9.27M","10.68%"
"Nov 2019","55.17","54.15","58.74","54.07","9.47M","1.83%"
"Oct 2019","54.18","54.28","56.92","50.99","11.55M","0.20%"
"Sep 2019","54.07","55.00","63.38","52.84","13.08M","-1.87%"
"Ago 2019","55.10","57.85","57.99","50.52","14.04M","-5.94%"
"Jul 2019","58.58","59.27","60.94","54.72","11.80M","0.19%"
"Jun 2019","58.47","53.42","59.93","50.60","12.46M","9.29%"
"May 2019","53.50","63.40","63.93","53.05","16.25M","-16.29%"
"Abr 2019","63.91","60.24","66.60","60.13","13.33M","6.27%"
"Mar 2019","60.14","57.22","60.73","54.52","11.96M","5.10%"
"Feb 2019","57.22","54.01","57.81","51.23","10.55M","6.38%"
"Ene 2019","53.79","45.80","55.37","44.35","14.02M","18.45%"
"Dic 2018","45.41","52.45","54.55","42.36","12.16M","-10.84%"
"Nov 2018","50.93","64.88","65.39","49.41","15.12M","-22.02%"
"Oct 2018","65.31","73.29","76.90","64.81","13.04M","-10.84%"
"Sep 2018","73.25","69.89","73.73","66.86","10.09M","4.94%"
"Ago 2018","69.80","68.43","70.50","64.43","10.42M","1.51%"
"Jul 2018","68.76","73.62","75.27","67.03","10.91M","-7.27%"
"Jun 2018","74.15","67.07","74.46","63.59","12.86M","10.61%"
"May 2018","67.04","68.56","72.83","65.80","15.04M","-2.23%"
"Abr 2018","68.57","64.91","69.56","61.81","12.71M","5.59%"
"Mar 2018","64.94","61.55","66.55","59.95","12.38M","5.35%"
"Feb 2018","61.64","64.76","66.30","58.07","11.99M","-4.77%"
"Ene 2018","64.73","60.20","66.66","60.10","12.77M","7.13%"
"Dic 2017","60.42","57.42","60.51","55.82","9.49M","5.26%"
"Nov 2017","57.40","54.65","59.05","53.89","12.53M","5.55%"
"Oct 2017","54.38","51.64","54.85","49.10","11.95M","5.24%"
"Sep 2017","51.67","47.08","52.86","46.56","12.24M","9.40%"
"Ago 2017","47.23","50.21","50.43","45.58","17.17M","-5.86%"
"Jul 2017","50.17","46.28","50.41","43.65","14.57M","8.97%"
"Jun 2017","46.04","48.63","49.17","42.05","15.23M","-4.72%"
"May 2017","48.32","49.17","52.00","43.76","14.25M","-2.05%"
"Abr 2017","49.33","50.69","53.76","48.20","9.72M","-2.51%"
"Mar 2017","50.60","53.95","54.44","47.01","12.60M","-6.31%"
"Feb 2017","54.01","52.76","54.94","51.22","9.09M","2.27%"
"Ene 2017","52.81","54.20","55.24","50.71","10.11M","-1.69%"
"Dic 2016","53.72","49.07","54.51","48.98","10.64M","8.66%"
"Nov 2016","49.44","46.77","49.90","42.20","13.50M","5.51%"
"Oct 2016","46.86","48.04","51.93","46.63","10.82M","-2.86%"
"Sep 2016","48.24","44.85","48.32","42.55","12.37M","7.92%"
"Ago 2016","44.70","41.35","48.75","39.19","11.59M","7.45%"
"Jul 2016","41.60","48.38","49.35","40.57","9.34M","-13.93%"
"Jun 2016","48.33","48.82","51.67","45.83","10.42M","-1.57%"
"May 2016","49.10","45.90","50.21","43.03","11.20M","6.93%"
"Abr 2016","45.92","38.14","46.78","35.24","11.62M","19.77%"
"Mar 2016","38.34","33.90","41.90","33.37","10.88M","13.60%"
"Feb 2016","33.75","33.83","34.69","26.05","11.47M","0.39%"
"Ene 2016","33.62","37.60","38.39","26.19","10.39M","-9.23%"
"Dic 2015","37.04","41.73","42.23","33.98","8.70M","-11.07%"
"Nov 2015","41.65","46.43","48.36","38.99","7.88M","-10.60%"
"Oct 2015","46.59","45.38","50.92","42.58","8.31M","3.33%"
"Sep 2015","45.09","48.10","48.87","43.21","7.97M","-8.35%"
"Ago 2015","49.20","46.86","49.33","37.75","8.24M","4.41%"
"Jul 2015","47.12","58.98","58.98","46.68","7.17M","-20.77%"
"Jun 2015","59.47","60.29","61.82","56.83","6.54M","-1.38%"
"May 2015","60.30","59.79","62.58","56.51","6.34M","1.12%"